# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-1.603000e-07 -1.314910e-04 -7.249826e-07)) ((0.000000e+00 0.000000e+00 0.000000e+00) (1.870195e-08 -7.146807e-07 3.595380e-07))
1.19048e-05   	((-2.869567e-01 -1.038804e+02 -9.901389e-01) (-8.876702e-07 -1.541013e-04 -3.409532e-05)) ((9.476297e-03 -8.247530e+00 4.423352e-02) (7.005267e-08 -2.440239e-05 1.361630e-06))
2.55952e-05   	((-1.249868e-01 -7.317200e+00 -1.585314e+00) (1.866849e-05 -4.181812e-04 -1.020327e-04)) ((3.490662e-03 -7.182121e-01 6.108264e-02) (2.427262e-08 -6.862258e-05 4.849015e-06))
3.97661e-05   	((-2.041755e-01 -1.212635e+01 1.917378e+00) (2.241162e-05 -2.283330e-04 1.230167e-04)) ((1.781294e-02 -8.967363e-01 -5.777437e-02) (9.170432e-06 -1.033560e-04 -1.117715e-05))
5.39369e-05   	((3.934438e+01 -2.113508e+01 -4.805975e-01) (1.448490e-03 -4.568033e-06 2.839718e-04)) ((-1.703100e+00 -3.521209e+00 -3.791354e-01) (-4.615062e-05 -1.524126e-04 -1.608478e-05))
5.91678e-05   	((1.143174e+00 -2.961193e+00 -6.657989e-02) (1.100052e-03 9.889574e-05 4.004969e-04)) ((-5.136388e-02 -2.514407e-01 -1.424272e-03) (-2.851648e-05 -1.493720e-04 -1.204721e-05))
6.5411e-05    	((4.466309e-01 -2.125084e+00 -1.399342e-01) (1.000007e-03 1.096711e-04 3.733165e-04)) ((-1.893215e-02 -1.668610e-01 4.213858e-03) (-2.320724e-05 -1.496700e-04 -1.127724e-05))
7.28666e-05   	((2.581021e-01 -1.739150e+00 -1.128045e-01) (9.156000e-04 1.155718e-04 3.393786e-04)) ((-1.148810e-02 -1.377971e-01 3.599402e-03) (-1.939333e-05 -1.496768e-04 -1.069855e-05))
8.18133e-05   	((2.166127e-01 -1.452351e+00 -9.563453e-02) (8.372990e-04 1.203595e-04 3.006965e-04)) ((-8.960052e-03 -1.164214e-01 3.466156e-03) (-1.607786e-05 -1.494524e-04 -1.010368e-05))
9.25493e-05   	((1.602902e-01 -1.233942e+00 -8.126644e-02) (7.631936e-04 1.244638e-04 2.616894e-04)) ((-6.576732e-03 -1.002844e-01 2.949698e-03) (-1.309047e-05 -1.489243e-04 -9.475176e-06))
0.000105321   	((1.241746e-01 -1.068108e+00 -6.841281e-02) (6.917121e-04 1.274987e-04 2.242543e-04)) ((-4.990092e-03 -8.752239e-02 2.512091e-03) (-1.040564e-05 -1.481729e-04 -8.858885e-06))
0.000119596   	((1.011758e-01 -9.641379e-01 -5.973195e-02) (6.272924e-04 1.300715e-04 1.903071e-04)) ((-3.971282e-03 -7.954166e-02 2.248970e-03) (-8.211317e-06 -1.472549e-04 -8.262485e-06))
0.000133871   	((8.850607e-02 -9.181447e-01 -6.095525e-02) (5.728885e-04 1.324500e-04 1.622729e-04)) ((-3.477365e-03 -7.591889e-02 2.335493e-03) (-6.534306e-06 -1.462232e-04 -7.762706e-06))
0.000148146   	((7.904683e-02 -8.782484e-01 -5.952538e-02) (5.261521e-04 1.345737e-04 1.394346e-04)) ((-3.104350e-03 -7.275288e-02 2.317070e-03) (-5.210544e-06 -1.452366e-04 -7.309925e-06))
0.00016242    	((6.659611e-02 -8.441789e-01 -5.840956e-02) (4.860574e-04 1.368058e-04 1.207289e-04)) ((-2.619875e-03 -7.009319e-02 2.309409e-03) (-4.108901e-06 -1.443421e-04 -6.910417e-06))
0.000176695   	((5.708548e-02 -8.138851e-01 -5.673681e-02) (4.501380e-04 1.386330e-04 1.042527e-04)) ((-2.235050e-03 -6.772762e-02 2.285104e-03) (-3.214727e-06 -1.435693e-04 -6.532108e-06))
0.00019097    	((4.999284e-02 -7.884152e-01 -5.537142e-02) (4.189260e-04 1.397179e-04 8.982207e-05)) ((-1.964179e-03 -6.581932e-02 2.250620e-03) (-2.537928e-06 -1.427775e-04 -6.212814e-06))
0.000205245   	((4.512927e-02 -7.662130e-01 -5.351462e-02) (3.909023e-04 1.409295e-04 7.689540e-05)) ((-1.767856e-03 -6.417414e-02 2.181812e-03) (-1.960930e-06 -1.419091e-04 -5.910408e-06))
0.000219519   	((4.162187e-02 -7.467445e-01 -5.110584e-02) (3.658650e-04 1.428127e-04 6.517746e-05)) ((-1.618479e-03 -6.274381e-02 2.087026e-03) (-1.428555e-06 -1.410243e-04 -5.596973e-06))
0.000233794   	((3.793207e-02 -7.287543e-01 -4.980337e-02) (3.435186e-04 1.446510e-04 5.478840e-05)) ((-1.452488e-03 -6.138814e-02 2.039509e-03) (-9.864490e-07 -1.401220e-04 -5.318801e-06))
0.000248069   	((3.407469e-02 -7.130990e-01 -4.827631e-02) (3.233468e-04 1.462627e-04 4.544728e-05)) ((-1.293124e-03 -6.024518e-02 1.980139e-03) (-6.004563e-07 -1.392008e-04 -5.068129e-06))
0.000262344   	((3.128467e-02 -6.985137e-01 -4.686822e-02) (3.053219e-04 1.479350e-04 3.674651e-05)) ((-1.177513e-03 -5.915425e-02 1.924866e-03) (-2.859916e-07 -1.382551e-04 -4.822978e-06))
