time_s,revolutions,thrust,torque,torque_abs,efficiency
0,0,0.000131491,-7.146807e-07,7.146807e-07,2.9282227
1.19048e-05,0.000178572,103.88055,-8.2475544,8.2475544,0.20046068
2.55952e-05,0.000383928,7.3176182,-0.71828072,0.71828072,0.16214205
3.97661e-05,0.0005964915,12.126578,-0.89683966,0.89683966,0.21520066
5.39369e-05,0.0008090535,21.135085,-3.5213614,3.5213614,0.095524225
5.91678e-05,0.000887517,2.9610941,-0.25159007,0.25159007,0.18731771
6.5411e-05,0.000981165,2.1249743,-0.16701067,0.16701067,0.20250213
7.28666e-05,0.001092999,1.7390344,-0.13794678,0.13794678,0.20063965
8.18133e-05,0.0012271995,1.4522306,-0.11657085,0.11657085,0.19827399
9.25493e-05,0.0013882395,1.2338175,-0.10043332,0.10043332,0.19552092
0.000105321,0.001579815,1.0679805,-0.087670563,0.087670563,0.1938785
0.000119596,0.00179394,0.96400783,-0.079688915,0.079688915,0.19253194
0.000133871,0.002008065,0.91801225,-0.076065113,0.076065113,0.19208042
0.000148146,0.00222219,0.87811383,-0.072898117,0.072898117,0.19171436
0.00016242,0.0024363,0.84404209,-0.070237532,0.070237532,0.19125597
0.000176695,0.002650425,0.81374647,-0.067871189,0.067871189,0.19081995
0.00019097,0.00286455,0.78827548,-0.065962097,0.065962097,0.19019701
0.000205245,0.003078675,0.76607207,-0.064316049,0.064316049,0.18957035
0.000219519,0.003292785,0.74660169,-0.062884834,0.062884834,0.18895708
0.000233794,0.00350691,0.72860965,-0.061528262,0.061528262,0.18846921
0.000248069,0.003721035,0.71295274,-0.060384381,0.060384381,0.18791275
0.000262344,0.00393516,0.69836576,-0.059292505,0.059292505,0.1874577
0.000276618,0.00414927,0.68472993,-0.058248563,0.058248563,0.18709157
0.000290893,0.004363395,0.67236877,-0.057324701,0.057324701,0.18667488
0.000305168,0.00457752,0.66103234,-0.056489705,0.056489705,0.18624024
0.000319443,0.004791645,0.65106215,-0.055782416,0.055782416,0.18575703
0.000333717,0.005005755,0.64230409,-0.05518793,0.05518793,0.1852323
0.000347992,0.00521988,0.63405155,-0.054606279,0.054606279,0.18480006
0.000362267,0.005434005,0.62639517,-0.054085528,0.054085528,0.18432637
0.000376542,0.00564813,0.61904444,-0.053578837,0.053578837,0.183886
0.000390816,0.00586224,0.61232515,-0.053120766,0.053120766,0.18345853
0.000405091,0.006076365,0.60554663,-0.052636956,0.052636956,0.1830952
0.000419366,0.00629049,0.59975072,-0.052247634,0.052247634,0.182694
0.000433641,0.006504615,0.59433247,-0.051895302,0.051895302,0.18227267
0.000447915,0.006718725,0.58895279,-0.051537307,0.051537307,0.18187747
0.00046219,0.00693285,0.58388144,-0.051212752,0.051212752,0.18145406
0.000476465,0.007146975,0.57905278,-0.050898984,0.050898984,0.18106277
0.000490739,0.007361085,0.5743102,-0.050576974,0.050576974,0.18072316
0.000505014,0.00757521,0.56991192,-0.050270264,0.050270264,0.18043331
0.000519289,0.007789335,0.56597092,-0.050004159,0.050004159,0.18013915
0.000533564,0.00800346,0.56216708,-0.049757075,0.049757075,0.17981698
0.000547838,0.00821757,0.5585678,-0.04951417,0.04951417,0.17954219
0.000562113,0.008431695,0.55502098,-0.049274665,0.049274665,0.17926927
0.000576388,0.00864582,0.55151094,-0.049039658,0.049039658,0.1789892
0.000590663,0.008859945,0.54842165,-0.048842642,0.048842642,0.17870454
0.000604937,0.009074055,0.5452658,-0.0486473,0.0486473,0.17838965
0.000619212,0.00928818,0.54216369,-0.048443993,0.048443993,0.17811915
0.000633487,0.009502305,0.53914694,-0.048234187,0.048234187,0.17789851
0.000647762,0.00971643,0.53637741,-0.048055501,0.048055501,0.17764276
0.000662036,0.00993054,0.5338808,-0.047895741,0.047895741,0.17740569
0.000676311,0.010144665,0.53116363,-0.047707927,0.047707927,0.17719763
0.000690586,0.01035879,0.52869129,-0.047538783,0.047538783,0.17700039
0.000704861,0.010572915,0.5263095,-0.047380998,0.047380998,0.17678977
0.000719135,0.010787025,0.52419177,-0.047249977,0.047249977,0.17656667
0.00073341,0.01100115,0.52196069,-0.047104296,0.047104296,0.17635891
0.000747685,0.011215275,0.51985534,-0.046973209,0.046973209,0.17613774
0.00076196,0.0114294,0.51791753,-0.04685586,0.04685586,0.17592065
0.000776234,0.01164351,0.51584518,-0.046717833,0.046717833,0.17573441
0.000790509,0.011857635,0.51367075,-0.046573317,0.046573317,0.17553665
0.000804784,0.01207176,0.51168288,-0.04644123,0.04644123,0.17535466
0.000819059,0.012285885,0.50976235,-0.046314402,0.046314402,0.17517488
0.000833333,0.012499995,0.50809855,-0.046219323,0.046219323,0.17496231
0.000847458,0.01271187,0.50766918,-0.04622281,0.04622281,0.17480127
0.000861582,0.01292373,0.50605163,-0.046116145,0.046116145,0.17464733
0.000875706,0.01313559,0.50441572,-0.046005723,0.046005723,0.17450058
0.000889831,0.013347465,0.50285364,-0.04590323,0.04590323,0.17434861
0.000903955,0.013559325,0.50140469,-0.045810773,0.045810773,0.17419709
0.000918079,0.013771185,0.49961567,-0.045675211,0.045675211,0.17409072
0.000932203,0.013983045,0.49800511,-0.04556159,0.04556159,0.17396227
0.000946328,0.01419492,0.49648089,-0.045448709,0.045448709,0.17386058
0.000960452,0.01440678,0.49499343,-0.045350638,0.045350638,0.17371454
0.000974576,0.01461864,0.49367082,-0.045260164,0.045260164,0.1735967
0.000988701,0.014830515,0.49225532,-0.045163364,0.045163364,0.17346996
0.00100282,0.0150423,0.49087899,-0.045058572,0.045058572,0.17338725
0.00101695,0.01525425,0.48943681,-0.044950018,0.044950018,0.17329534
0.00103107,0.01546605,0.48816929,-0.044851443,0.044851443,0.17322643
0.0010452,0.015678,0.48668938,-0.044741657,0.044741657,0.17312506
0.00105932,0.0158898,0.48559023,-0.044653619,0.044653619,0.17307463
0.00107345,0.01610175,0.48425008,-0.044556477,0.044556477,0.17297327
0.00108757,0.01631355,0.48309409,-0.044464384,0.044464384,0.17291775
0.00110169,0.01652535,0.48179456,-0.044368439,0.044368439,0.17282552
0.00111582,0.0167373,0.48061969,-0.044264113,0.044264113,0.17281042
0.00112994,0.0169491,0.47951827,-0.044186954,0.044186954,0.17271546
0.00114407,0.01716105,0.4786234,-0.0441149,0.0441149,0.17267472
0.00115819,0.01737285,0.4775208,-0.044031054,0.044031054,0.17260499
0.00117232,0.0175848,0.47643666,-0.043941684,0.043941684,0.17256336
0.00118644,0.0177966,0.47533448,-0.043854434,0.043854434,0.17250669
0.00120056,0.0180084,0.47438836,-0.043779121,0.043779121,0.1724595
0.00121469,0.01822035,0.47324829,-0.043687905,0.043687905,0.17240425
0.00122881,0.01843215,0.47229807,-0.043596466,0.043596466,0.17241896
0.00124294,0.0186441,0.47129492,-0.043520444,0.043520444,0.17235329
0.00125706,0.0188559,0.47027583,-0.043435787,0.043435787,0.1723158
0.00127119,0.01906785,0.46933515,-0.043360855,0.043360855,0.1722683
0.00128531,0.01927965,0.4684289,-0.043278958,0.043278958,0.17226102
0.00129944,0.0194916,0.46737091,-0.043190806,0.043190806,0.17222274
0.00131356,0.0197034,0.46636375,-0.043097419,0.043097419,0.17222399
0.00132768,0.0199152,0.46519864,-0.042998636,0.042998636,0.1721884
0.00134181,0.02012715,0.46411223,-0.042896155,0.042896155,0.17219668
0.00135593,0.02033895,0.46314767,-0.042812819,0.042812819,0.17217329
0.00137006,0.0205509,0.46219636,-0.04272275,0.04272275,0.17218188
0.00138418,0.0207627,0.46126521,-0.042641927,0.042641927,0.17216069
0.00139831,0.02097465,0.46033431,-0.04255732,0.04255732,0.17215483
0.00141243,0.02118645,0.45947387,-0.042483409,0.042483409,0.17213199
0.00142655,0.02139825,0.45853516,-0.042391062,0.042391062,0.17215454
0.00144068,0.0216102,0.45751666,-0.042293269,0.042293269,0.17216933
0.0014548,0.021822,0.45656029,-0.042199829,0.042199829,0.17218986
0.00146893,0.02203395,0.45571905,-0.042123903,0.042123903,0.17218238
0.00148305,0.02224575,0.45482746,-0.042042924,0.042042924,0.17217651
0.00149718,0.0224577,0.4538075,-0.041951938,0.041951938,0.17216298
0.0015113,0.0226695,0.45276186,-0.041849536,0.041849536,0.17218659
0.00152542,0.0228813,0.45160068,-0.041736939,0.041736939,0.17220832
0.00153955,0.02309325,0.45060754,-0.041640887,0.041640887,0.17222596
0.00155367,0.02330505,0.44955264,-0.041541578,0.041541578,0.17223353
0.0015678,0.023517,0.44864137,-0.041451445,0.041451445,0.17225815
0.00158192,0.0237288,0.44759223,-0.041351296,0.041351296,0.17227154
0.00159605,0.02394075,0.44673143,-0.041267542,0.041267542,0.1722892
0.00161017,0.02415255,0.44581229,-0.041183282,0.041183282,0.17228649
0.00162429,0.02436435,0.4447995,-0.041079364,0.041079364,0.17232993
0.00163842,0.0245763,0.44379715,-0.04097295,0.04097295,0.17238815
0.00165254,0.0247881,0.44284304,-0.040870639,0.040870639,0.17244815
0.00166667,0.02500005,0.44191978,-0.04078034,0.04078034,0.17246967
0.00168079,0.02521185,0.44095094,-0.040681095,0.040681095,0.17251139
0.00169492,0.0254238,0.44007304,-0.040591674,0.040591674,0.17254721
0.00170904,0.0256356,0.43910749,-0.040493415,0.040493415,0.1725864
0.00172316,0.0258474,0.43818037,-0.04039954,0.04039954,0.17262219
0.00173729,0.02605935,0.43722797,-0.040304401,0.040304401,0.17265359
0.00175141,0.02627115,0.43641439,-0.040224933,0.040224933,0.17267277
0.00176554,0.0264831,0.43554261,-0.040137606,0.040137606,0.17270277
0.00177966,0.0266949,0.43459804,-0.040039072,0.040039072,0.17275232
0.00179379,0.02690685,0.43367568,-0.039943698,0.039943698,0.17279729
0.00180791,0.02711865,0.43278463,-0.039854747,0.039854747,0.17282713
0.00182203,0.02733045,0.43184998,-0.039761558,0.039761558,0.17285807
0.00183616,0.0275424,0.43085665,-0.03965988,0.03965988,0.1729026
0.00185028,0.0277542,0.42995963,-0.039565575,0.039565575,0.17295389
0.00186441,0.02796615,0.42911113,-0.039472061,0.039472061,0.17302151
0.00187853,0.02817795,0.42830696,-0.039389199,0.039389199,0.17306056
0.00189266,0.0283899,0.42748592,-0.03930428,0.03930428,0.173102
0.00190678,0.0286017,0.42667561,-0.039224095,0.039224095,0.17312708
0.0019209,0.0288135,0.42581051,-0.039136571,0.039136571,0.17316245
0.00193503,0.02902545,0.42491283,-0.03904088,0.03904088,0.17322094
0.00194915,0.02923725,0.42396488,-0.03894167,0.03894167,0.17327481
0.00196328,0.0294492,0.42304424,-0.038845201,0.038845201,0.17332793
0.0019774,0.029661,0.42217351,-0.038759594,0.038759594,0.17335321
0.00199153,0.02987295,0.421227,-0.03866445,0.03866445,0.17339018
0.00200565,0.03008475,0.4202452,-0.038561027,0.038561027,0.17345
0.00201977,0.03029655,0.41938321,-0.038474676,0.038474676,0.17348271
0.0020339,0.0305085,0.41844055,-0.038377227,0.038377227,0.17353229
0.00204802,0.0307203,0.4176931,-0.038297949,0.038297949,0.17358089
0.00206215,0.03093225,0.41689905,-0.038213822,0.038213822,0.17363232
0.00207627,0.03114405,0.41611601,-0.038135726,0.038135726,0.1736611
0.0020904,0.031356,0.41540766,-0.038062811,0.038062811,0.17369758
0.00210452,0.0315678,0.41460618,-0.037979569,0.037979569,0.17374243
0.00211864,0.0317796,0.41386503,-0.037903838,0.037903838,0.17377835
0.00213277,0.03199155,0.41301449,-0.03781733,0.03781733,0.17381792
0.00214689,0.03220335,0.41211986,-0.037729314,0.037729314,0.17384602
0.00216102,0.0324153,0.41120074,-0.03763116,0.03763116,0.17391074
0.00217514,0.0326271,0.41041472,-0.037551158,0.037551158,0.17394812
0.00218927,0.03283905,0.40963323,-0.037473617,0.037473617,0.17397614
0.00220339,0.03305085,0.40877034,-0.037382458,0.037382458,0.17403302
0.00221751,0.03326265,0.40794845,-0.037295959,0.037295959,0.17408591
0.00223164,0.0334746,0.40718166,-0.037215582,0.037215582,0.17413398
0.00224576,0.0336864,0.40638769,-0.037134997,0.037134997,0.17417158
0.00225989,0.03389835,0.40568462,-0.037062083,0.037062083,0.17421231
0.00227401,0.03411015,0.40496227,-0.036986471,0.036986471,0.17425763
0.00228814,0.0343221,0.40424032,-0.036913031,0.036913031,0.17429305
0.00230226,0.0345339,0.40350498,-0.036837901,0.036837901,0.17433081
0.00231638,0.0347457,0.40275275,-0.036764041,0.036764041,0.1743554
0.00233051,0.03495765,0.40208212,-0.036696263,0.036696263,0.17438658
0.00234463,0.03516945,0.4013675,-0.036620516,0.036620516,0.17443671
