# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-1.606861e-07 -1.312423e-04 -7.203510e-07)) ((0.000000e+00 0.000000e+00 0.000000e+00) (1.876268e-08 -7.140786e-07 3.565018e-07))
1.19048e-05   	((-2.671605e-01 -1.034541e+02 -9.161429e-01) (-7.523640e-07 -1.537178e-04 -3.357235e-05)) ((8.318926e-03 -8.217330e+00 4.253725e-02) (7.969024e-08 -2.432330e-05 1.373127e-06))
2.53968e-05   	((-1.196120e-01 -7.511648e+00 -1.575708e+00) (1.996996e-05 -4.132122e-04 -9.971941e-05)) ((3.385192e-03 -7.276389e-01 6.121277e-02) (2.579949e-08 -6.758616e-05 4.870628e-06))
3.93707e-05   	((-4.871142e-01 -1.234602e+01 1.583580e+00) (-7.431857e-06 -2.772444e-04 9.876698e-05)) ((2.830958e-02 -9.537132e-01 -4.758399e-02) (8.264079e-06 -1.092290e-04 -1.109292e-05))
5.33447e-05   	((1.345858e+01 -1.231664e+01 -2.734488e-01) (6.750262e-04 -1.274271e-04 1.729329e-04)) ((-6.250286e-01 -1.682955e+00 -1.205973e-01) (-1.616290e-05 -1.521075e-04 -1.652494e-05))
5.98326e-05   	((1.425591e+00 -2.952662e+00 1.102092e-01) (5.646239e-04 -5.522128e-05 1.789786e-04)) ((-6.201873e-02 -3.012861e-01 -1.770751e-02) (-9.094799e-06 -1.492564e-04 -1.323213e-05))
6.75898e-05   	((2.647323e-01 -1.857694e+00 -1.083407e-01) (5.007720e-04 -2.765386e-05 1.768359e-04)) ((-1.139624e-02 -1.496364e-01 3.736805e-03) (-6.217764e-06 -1.462205e-04 -1.213008e-05))
7.67761e-05   	((1.389961e-01 -1.511284e+00 -9.847995e-02) (4.570156e-04 -9.545501e-06 1.637459e-04)) ((-5.948803e-03 -1.208434e-01 3.973435e-03) (-4.390050e-06 -1.444559e-04 -1.120233e-05))
8.77403e-05   	((9.262725e-02 -1.266816e+00 -8.182995e-02) (4.199736e-04 3.743808e-06 1.439552e-04)) ((-3.844207e-03 -1.020900e-01 3.482417e-03) (-3.071892e-06 -1.428968e-04 -1.035754e-05))
0.000100897   	((7.266320e-02 -1.082769e+00 -6.462616e-02) (3.857095e-04 1.580963e-05 1.232117e-04)) ((-2.888379e-03 -8.825746e-02 2.808185e-03) (-1.907655e-06 -1.414490e-04 -9.513292e-06))
