time_s,revolutions,thrust,torque,torque_abs,efficiency
0,0,0.0001312423,-7.140786e-07,7.140786e-07,2.9251487
1.19048e-05,0.000178572,103.45425,-8.2173543,8.2173543,0.20037174
2.53968e-05,0.000380952,7.5120612,-0.72770649,0.72770649,0.16429449
3.93707e-05,0.0005905605,12.346297,-0.95382243,0.95382243,0.20601049
5.33447e-05,0.0008001705,12.316767,-1.6831071,1.6831071,0.1164676
5.98326e-05,0.000897489,2.9527172,-0.30143536,0.30143536,0.1559006
6.75898e-05,0.001013847,1.8577217,-0.14978262,0.14978262,0.19739646
7.67761e-05,0.0011516415,1.5112935,-0.12098786,0.12098786,0.19880494
8.77403e-05,0.0013161045,1.2668123,-0.1022329,0.1022329,0.19721581
0.000100897,0.001513455,1.0827532,-0.088398909,0.088398909,0.19494078
0.00011525,0.00172875,0.97946057,-0.080596311,0.080596311,0.19341579
0.000129604,0.00194406,0.92820595,-0.076675532,0.076675532,0.19266715
0.000143957,0.002159355,0.88437238,-0.073272285,0.073272285,0.19209478
0.00015831,0.00237465,0.84791287,-0.070496364,0.070496364,0.19142764
0.000172663,0.002589945,0.81516936,-0.067950265,0.067950265,0.19093117
0.000187016,0.00280524,0.78712279,-0.065796182,0.065796182,0.1903978
0.000201369,0.003020535,0.76236761,-0.063901953,0.063901953,0.18987616
0.000215723,0.003235845,0.74169531,-0.062388439,0.062388439,0.18920889
0.000230076,0.00345114,0.72353948,-0.061085557,0.061085557,0.18851409
0.000244429,0.003666435,0.70701118,-0.059881365,0.059881365,0.18791209
0.000258782,0.00388173,0.69272176,-0.058883756,0.058883756,0.18723346
0.000273135,0.004097025,0.67933973,-0.057933295,0.057933295,0.18662891
0.000287488,0.00431232,0.66723527,-0.057081308,0.057081308,0.18603952
0.000301841,0.004527615,0.65590864,-0.056273493,0.056273493,0.1855067
0.000316195,0.004742925,0.6457696,-0.055558445,0.055558445,0.18498974
0.000330548,0.00495822,0.63654428,-0.054914763,0.054914763,0.1844844
0.000344901,0.005173515,0.62794784,-0.054317739,0.054317739,0.18399331
0.000359254,0.00538881,0.62013974,-0.053785728,0.053785728,0.18350278
0.000373607,0.005604105,0.61283916,-0.053288486,0.053288486,0.18303463
0.00038796,0.0058194,0.60543627,-0.052763551,0.052763551,0.18262261
0.000402314,0.00603471,0.59857991,-0.052277276,0.052277276,0.18223396
0.000416667,0.006250005,0.59225058,-0.051829862,0.051829862,0.18186351
0.000431034,0.00646551,0.58612534,-0.051397908,0.051397908,0.18149522
0.000445402,0.00668103,0.58051851,-0.051010403,0.051010403,0.1811246
0.00045977,0.00689655,0.57533264,-0.050675805,0.050675805,0.18069182
0.000474138,0.00711207,0.57070255,-0.050380316,0.050380316,0.18028893
0.000488506,0.00732759,0.56629847,-0.050089668,0.050089668,0.17993571
0.000502874,0.00754311,0.56213141,-0.049811225,0.049811225,0.1796101
0.000517241,0.007758615,0.55815523,-0.049553638,0.049553638,0.17926669
0.000531609,0.007974135,0.55446906,-0.049307844,0.049307844,0.17897049
0.000545977,0.008189655,0.55078709,-0.049072811,0.049072811,0.17863351
0.000560345,0.008405175,0.54717949,-0.048824718,0.048824718,0.17836523
0.000574713,0.008620695,0.54386338,-0.048607608,0.048607608,0.17807613
0.00058908,0.0088362,0.54048942,-0.048376882,0.048376882,0.17781543
0.000603448,0.00905172,0.53774796,-0.048218298,0.048218298,0.17749537
0.000617816,0.00926724,0.53480398,-0.048025617,0.048025617,0.17723187
0.000632184,0.00948276,0.53240623,-0.047886609,0.047886609,0.17694943
0.000646552,0.00969828,0.52993878,-0.047734352,0.047734352,0.17669115
0.00066092,0.0099138,0.52729604,-0.047561306,0.047561306,0.17644968
0.000675287,0.010129305,0.52482967,-0.047401495,0.047401495,0.17621646
0.000689655,0.010344825,0.52261545,-0.047259069,0.047259069,0.17600184
0.000704023,0.010560345,0.52031522,-0.047112296,0.047112296,0.17577309
0.000718391,0.010775865,0.51814606,-0.046977992,0.046977992,0.17554072
0.000732759,0.010991385,0.51600367,-0.046842238,0.046842238,0.17532155
0.000747126,0.01120689,0.51400263,-0.046718065,0.046718065,0.17510584
0.000761494,0.01142241,0.51205701,-0.046592761,0.046592761,0.17491216
0.000775862,0.01163793,0.51011213,-0.046466556,0.046466556,0.17472108
0.00079023,0.01185345,0.5082424,-0.046346419,0.046346419,0.17453191
0.000804598,0.01206897,0.50640794,-0.046229684,0.046229684,0.17434108
0.000818966,0.01228449,0.50464394,-0.046120766,0.046120766,0.17414407
0.000833333,0.012499995,0.50324917,-0.04604822,0.04604822,0.17393635
0.000847701,0.012715515,0.50163291,-0.045938055,0.045938055,0.17379351
0.000862069,0.012931035,0.50000842,-0.04582641,0.04582641,0.17365273
0.000876437,0.013146555,0.4983877,-0.045718717,0.045718717,0.17349758
0.000890805,0.013362075,0.49683293,-0.045610309,0.045610309,0.17336742
0.000905172,0.01357758,0.4952376,-0.045498194,0.045498194,0.17323657
0.00091954,0.0137931,0.49379095,-0.045401958,0.045401958,0.17309666
0.000933908,0.01400862,0.49231724,-0.045289848,0.045289848,0.17300726
0.000948276,0.01422414,0.4908974,-0.045190299,0.045190299,0.17288832
0.000962644,0.01443966,0.4894994,-0.045093289,0.045093289,0.17276684
0.000977011,0.014655165,0.48805506,-0.044986256,0.044986256,0.1726669
0.000991379,0.014870685,0.48667775,-0.04488169,0.04488169,0.17258078
0.00100575,0.01508625,0.48551453,-0.044802674,0.044802674,0.17247193
0.00102011,0.01530165,0.4842693,-0.044702617,0.044702617,0.17241463
0.00103448,0.0155172,0.48314424,-0.044623463,0.044623463,0.1723192
0.00104885,0.01573275,0.48203947,-0.044544328,0.044544328,0.1722306
0.00106322,0.0159483,0.48106168,-0.044470072,0.044470072,0.17216825
0.00107759,0.01616385,0.48007927,-0.044394225,0.044394225,0.1721102
0.00109195,0.01637925,0.47902635,-0.044310234,0.044310234,0.17205825
0.00110632,0.0165948,0.47804371,-0.044235883,0.044235883,0.17199389
0.00112069,0.01681035,0.47702332,-0.044154899,0.044154899,0.17194155
0.00113506,0.0170259,0.4758577,-0.044061452,0.044061452,0.17188518
0.00114943,0.01724145,0.47475937,-0.043974292,0.043974292,0.17182835
0.00116379,0.01745685,0.47386393,-0.04390815,0.04390815,0.17176261
0.00117816,0.0176724,0.47291697,-0.043830096,0.043830096,0.17172464
0.00119253,0.01788795,0.47200639,-0.043748958,0.043748958,0.17171186
0.0012069,0.0181035,0.4711022,-0.043673657,0.043673657,0.17167842
0.00122126,0.0183189,0.47029667,-0.043611313,0.043611313,0.17162987
0.00123563,0.01853445,0.46949152,-0.043540234,0.043540234,0.17161574
0.00125,0.01875,0.46870885,-0.043477711,0.043477711,0.17157603
0.00126437,0.01896555,0.46784265,-0.043404265,0.043404265,0.17154874
0.00127874,0.0191811,0.46687027,-0.043319484,0.043319484,0.17152723
0.0012931,0.0193965,0.46580323,-0.04322182,0.04322182,0.1715219
0.00130747,0.01961205,0.46502835,-0.043152602,0.043152602,0.17151124
0.00132184,0.0198276,0.46401843,-0.043057728,0.043057728,0.17151585
0.00133621,0.02004315,0.46317493,-0.042982999,0.042982999,0.17150171
0.00135057,0.02025855,0.46240238,-0.042910365,0.042910365,0.17150547
0.00136494,0.0204741,0.46156441,-0.042834819,0.042834819,0.1714966
0.00137931,0.02068965,0.46055437,-0.042745557,0.042745557,0.17147865
0.00139368,0.0209052,0.45978114,-0.04267563,0.04267563,0.17147126
0.00140805,0.02112075,0.45896188,-0.042599538,0.042599538,0.17147146
0.00142241,0.02133615,0.45818718,-0.042524433,0.042524433,0.17148437
0.00143678,0.0215517,0.45725944,-0.042432773,0.042432773,0.17150682
0.00145115,0.02176725,0.45647103,-0.042361237,0.042361237,0.17150024
0.00146552,0.0219828,0.45558996,-0.042277415,0.042277415,0.17150858
0.00147989,0.02219835,0.45473544,-0.042199318,0.042199318,0.17150371
0.00149425,0.02241375,0.45373037,-0.042103774,0.042103774,0.17151296
0.00150862,0.0226293,0.45270845,-0.042007025,0.042007025,0.1715208
0.00152299,0.02284485,0.45182079,-0.041917402,0.041917402,0.1715505
0.00153736,0.0230604,0.45086289,-0.041822663,0.041822663,0.17157458
0.00155172,0.0232758,0.44990417,-0.041730196,0.041730196,0.17158911
0.00156609,0.02349135,0.44899699,-0.04164405,0.04164405,0.17159736
0.00158046,0.0237069,0.44807824,-0.041557356,0.041557356,0.17160347
0.00159483,0.02392245,0.44715844,-0.041471376,0.041471376,0.17160626
0.0016092,0.024138,0.44626967,-0.041381338,0.041381338,0.17163781
0.00162356,0.0243534,0.44524574,-0.041276153,0.041276153,0.17168039
0.00163793,0.02456895,0.44435474,-0.041182312,0.041182312,0.17172725
0.0016523,0.0247845,0.44353048,-0.041102465,0.041102465,0.17174169
0.00166667,0.02500005,0.44274225,-0.041022551,0.041022551,0.17177044
0.00168103,0.02521545,0.44190277,-0.04093998,0.04093998,0.17179053
0.0016954,0.025431,0.44099061,-0.040843923,0.040843923,0.17183911
0.00170977,0.02564655,0.44023007,-0.04076829,0.04076829,0.171861
0.00172414,0.0258621,0.43930615,-0.040669642,0.040669642,0.1719163
0.00173851,0.02607765,0.43849965,-0.040585247,0.040585247,0.17195753
0.00175287,0.02629305,0.43763666,-0.040496514,0.040496514,0.17199515
0.00176724,0.0265086,0.43678618,-0.040406772,0.040406772,0.17204215
0.00178161,0.02672415,0.4359405,-0.040317322,0.040317322,0.17209002
0.00179598,0.0269397,0.43504655,-0.040222342,0.040222342,0.17214266
0.00181034,0.0271551,0.43418342,-0.040138155,0.040138155,0.17216147
0.00182471,0.02737065,0.4334518,-0.040065928,0.040065928,0.1721812
0.00183908,0.0275862,0.43257013,-0.039975555,0.039975555,0.17221943
0.00185345,0.02780175,0.43184478,-0.039900414,0.039900414,0.17225443
0.00186782,0.0280173,0.43100156,-0.039810994,0.039810994,0.17230423
0.00188218,0.0282327,0.43001295,-0.039708666,0.039708666,0.17235202
0.00189655,0.02844825,0.42916187,-0.039618138,0.039618138,0.17240395
0.00191092,0.0286638,0.42836212,-0.039533463,0.039533463,0.17245124
0.00192529,0.02887935,0.42757449,-0.039451229,0.039451229,0.17249296
0.00193966,0.0290949,0.42666317,-0.039357586,0.039357586,0.17253485
0.00195402,0.0293103,0.42566996,-0.039243765,0.039243765,0.17263246
0.00196839,0.02952585,0.42478908,-0.039152497,0.039152497,0.17267681
0.00198276,0.0297414,0.42403413,-0.039079642,0.039079642,0.17269127
0.00199713,0.02995695,0.42332704,-0.039009981,0.039009981,0.17271116
0.00201149,0.03017235,0.42265026,-0.038939341,0.038939341,0.17274786
0.00202586,0.0303879,0.4218444,-0.038853631,0.038853631,0.17279884
0.00204023,0.03060345,0.42112157,-0.038776253,0.038776253,0.17284697
0.0020546,0.030819,0.42047064,-0.038708917,0.038708917,0.17288001
0.00206897,0.03103455,0.41975801,-0.038635062,0.038635062,0.17291692
0.00208333,0.03124995,0.41910088,-0.03856486,0.03856486,0.17296051
0.0020977,0.0314655,0.41842435,-0.038494138,0.038494138,0.17299856
0.00211207,0.03168105,0.41765182,-0.038417007,0.038417007,0.17302585
0.00212644,0.0318966,0.41683319,-0.038328557,0.038328557,0.17308521
0.0021408,0.032112,0.41600807,-0.038239161,0.038239161,0.17314643
0.00215517,0.03232755,0.41526295,-0.038161636,0.038161636,0.17318742
0.00216954,0.0325431,0.41452362,-0.038084992,0.038084992,0.17322699
0.00218391,0.03275865,0.41379759,-0.038003989,0.038003989,0.17329215
0.00219828,0.0329742,0.41304735,-0.037924359,0.037924359,0.17334117
0.00221264,0.0331896,0.4122811,-0.03784544,0.03784544,0.1733804
0.00222701,0.03340515,0.41159156,-0.037773132,0.037773132,0.17342176
0.00224138,0.0336207,0.41087373,-0.037697187,0.037697187,0.17346808
0.00225575,0.03383625,0.4101418,-0.037620103,0.037620103,0.17351387
0.00227011,0.03405165,0.40933025,-0.037536959,0.037536959,0.1735541
0.00228448,0.0342672,0.40857929,-0.037457549,0.037457549,0.17360296
0.00229885,0.03448275,0.40780825,-0.037370789,0.037370789,0.17367762
0.00231322,0.0346983,0.40709791,-0.037295721,0.037295721,0.17372407
0.00232759,0.03491385,0.40637508,-0.037217425,0.037217425,0.17378043
0.00234195,0.03512925,0.40568136,-0.03714019,0.03714019,0.17384454
