# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (2.375144e-07 -2.112760e-04 1.248422e-06)) ((0.000000e+00 0.000000e+00 0.000000e+00) (3.601205e-08 1.231657e-06 6.514374e-07))
1.2e-05       	((-4.525847e-02 5.658623e+01 -2.198073e+00) (-2.017969e-06 -1.929945e-04 -3.276665e-05)) ((2.559714e-02 -6.195888e+00 -1.067784e-01) (2.600119e-07 -3.296768e-05 2.063466e-07))
2.64e-05      	((-6.604644e-02 3.897189e+01 -1.571045e+00) (-6.088213e-06 -2.479938e-04 -3.256518e-05)) ((1.639251e-02 -4.255496e+00 -7.483147e-02) (1.645510e-07 -4.038073e-05 -7.545062e-08))
4.35e-05      	((-4.750432e-02 1.749841e+01 -6.500516e-01) (-1.066420e-05 -4.471372e-04 -5.096691e-05)) ((3.800090e-03 -1.977809e+00 -3.138605e-02) (5.129400e-07 -9.037694e-05 1.671614e-06))
6.32308e-05   	((-1.821223e-01 3.923608e+00 6.310790e-02) (-1.782725e-05 -9.559154e-04 -8.518971e-05)) ((-6.577867e-03 -4.963537e-01 3.726979e-03) (1.197258e-06 -1.363024e-04 5.787820e-06))
8.69077e-05   	((4.975925e-03 -1.244898e+00 4.059528e-01) (2.406428e-05 -1.414689e-03 -9.291992e-05)) ((-1.558608e-03 1.244416e-01 2.248931e-02) (8.958350e-07 -1.440735e-04 8.064796e-06))
0.000113544   	((1.916025e-02 -1.677169e+00 3.458396e-01) (3.019838e-05 -1.694568e-03 -9.740371e-05)) ((-1.433668e-03 1.998907e-01 1.787497e-02) (4.362824e-08 -1.482216e-04 7.383760e-06))
0.000140181   	((2.899266e-02 -7.497165e-01 2.342178e-01) (2.990613e-05 -1.860262e-03 -1.047408e-04)) ((-8.030569e-04 1.064154e-01 1.151760e-02) (-4.178836e-08 -1.550971e-04 6.516857e-06))
0.000166817   	((2.031668e-02 1.670731e-01 1.333301e-01) (2.931873e-05 -1.974440e-03 -1.103939e-04)) ((-5.053544e-04 4.151874e-03 6.084171e-03) (-1.069765e-08 -1.624048e-04 5.608977e-06))
0.000193454   	((1.474584e-02 7.215312e-01 5.797547e-02) (2.898782e-05 -2.060122e-03 -1.121581e-04)) ((-1.200679e-04 -6.237748e-02 2.324041e-03) (-2.558604e-08 -1.693923e-04 4.929877e-06))
0.00022009    	((1.348473e-02 9.541289e-01 1.699473e-02) (2.673295e-05 -2.130376e-03 -1.095635e-04)) ((1.735744e-04 -9.385639e-02 4.387342e-04) (-3.335402e-08 -1.756652e-04 4.616476e-06))
0.000246727   	((1.107082e-02 9.829641e-01 2.524840e-03) (2.510226e-05 -2.192253e-03 -1.064955e-04)) ((1.809058e-04 -1.017927e-01 -1.579096e-04) (3.412013e-08 -1.811076e-04 4.438669e-06))
0.000273363   	((8.230180e-03 9.183357e-01 2.013064e-03) (2.421475e-05 -2.248719e-03 -1.029963e-04)) ((6.101197e-05 -9.790239e-02 -1.058666e-04) (7.628550e-08 -1.856437e-04 4.289913e-06))
0.0003        	((6.207286e-03 8.311577e-01 6.055957e-03) (2.399063e-05 -2.300666e-03 -9.929182e-05)) ((-6.541558e-05 -9.014835e-02 1.584317e-04) (8.489257e-08 -1.893259e-04 4.155625e-06))
