time_s,revolutions,thrust,torque,torque_abs,efficiency
0,0,-0.000211276,1.231657e-06,1.231657e-06,
1.2e-05,0.0002,56.586037,-6.195921,6.195921,0.17442342
2.64e-05,0.00044,38.971642,-4.2555364,4.2555364,0.1749024
4.35e-05,0.000725,17.497963,-1.9778994,1.9778994,0.1689603
6.32308e-05,0.0010538467,3.9226521,-0.49649,0.49649,0.15089354
8.69077e-05,0.0014484617,-1.2463127,0.12429753,0.12429753,
0.000113544,0.0018924,-1.6788636,0.19974248,0.19974248,
0.000140181,0.00233635,-0.75157676,0.1062603,0.1062603,
0.000166817,0.0027802833,0.16509866,0.0039894692,0.0039894692,0.79036884
0.000193454,0.0032242333,0.71947108,-0.062546872,0.062546872,0.21968941
0.00022009,0.0036681667,0.95199852,-0.094032055,0.094032055,0.19335781
0.000246727,0.0041121167,0.98077185,-0.10197381,0.10197381,0.18368798
0.000273363,0.00455605,0.91608698,-0.098088034,0.098088034,0.1783701
0.0003,0.005,0.82885703,-0.090337676,0.090337676,0.17523146
0.000325,0.0054166667,0.7587923,-0.08359935,0.08359935,0.17334902
0.00035,0.0058333333,0.70781118,-0.078330844,0.078330844,0.17257822
0.000375,0.00625,0.67583798,-0.074807015,0.074807015,0.17254471
0.0004,0.0066666667,0.65806919,-0.072668614,0.072668614,0.17295219
0.000428571,0.00714285,0.64116568,-0.070446119,0.070446119,0.17382594
0.000462857,0.0077142833,0.62264965,-0.068008262,0.068008262,0.17485717
0.000497143,0.0082857167,0.61243864,-0.066627329,0.066627329,0.17555433
0.000531429,0.00885715,0.60474608,-0.065622821,0.065622821,0.17600278
0.000565714,0.0094285667,0.59750274,-0.064751389,0.064751389,0.17623501
0.0006,0.01,0.59061168,-0.063969966,0.063969966,0.17633044
0.0006375,0.010625,0.58011184,-0.06276607,0.06276607,0.17651766
0.000675,0.01125,0.57231738,-0.061894465,0.061894465,0.17659829
0.0007125,0.011875,0.56592524,-0.061190683,0.061190683,0.17663434
0.00075,0.0125,0.56032332,-0.060576052,0.060576052,0.17666036
0.0007875,0.013125,0.55540269,-0.06002769,0.06002769,0.17670862
0.000825,0.01375,0.5510588,-0.059524491,0.059524491,0.1768087
0.0008625,0.014375,0.54718282,-0.059057329,0.059057329,0.17695386
0.0009,0.015,0.54366986,-0.058622361,0.058622361,0.17712234
0.0009375,0.015625,0.54038152,-0.058200883,0.058200883,0.17732595
0.000975,0.01625,0.53733688,-0.057794092,0.057794092,0.17756795
0.0010125,0.016875,0.53447483,-0.057396904,0.057396904,0.17784439
0.00105,0.0175,0.53184177,-0.057025412,0.057025412,0.17812111
0.0010875,0.018125,0.5292706,-0.056671135,0.056671135,0.17836812
0.001125,0.01875,0.52672482,-0.056329239,0.056329239,0.17858759
0.0011625,0.019375,0.52415886,-0.055992905,0.055992905,0.17878509
0.0012,0.02,0.5215024,-0.055655749,0.055655749,0.17895657
0.0012375,0.020625,0.5189373,-0.055329838,0.055329838,0.17912527
0.001275,0.02125,0.51639672,-0.055008982,0.055008982,0.17928801
0.0013125,0.021875,0.51394773,-0.054694438,0.054694438,0.17946393
0.00135,0.0225,0.51166689,-0.054397834,0.054397834,0.17964167
0.0013875,0.023125,0.50943004,-0.054109248,0.054109248,0.17981024
0.001425,0.02375,0.50721344,-0.053826449,0.053826449,0.17996846
0.0014625,0.024375,0.50501662,-0.053551058,0.053551058,0.18011048
0.0015,0.025,0.50286242,-0.05328258,0.05328258,0.18024586
0.0015375,0.025625,0.50083212,-0.053024168,0.053024168,0.180393
0.001575,0.02625,0.4989907,-0.052778162,0.052778162,0.18056749
0.0016125,0.026875,0.49726002,-0.052538972,0.052538972,0.18076042
0.00165,0.0275,0.49557547,-0.052305551,0.052305551,0.18095201
0.0016875,0.028125,0.49383763,-0.052070283,0.052070283,0.18113218
0.001725,0.02875,0.49215557,-0.051846072,0.051846072,0.18129587
0.0017625,0.029375,0.49048476,-0.051624909,0.051624909,0.18145444
0.0018,0.03,0.4888476,-0.051405229,0.051405229,0.18162163
0.0018375,0.030625,0.48734907,-0.051195683,0.051195683,0.18180598
0.001875,0.03125,0.48586087,-0.050989515,0.050989515,0.18198367
0.0019125,0.031875,0.4844108,-0.050790204,0.050790204,0.18215254
0.00195,0.0325,0.48296561,-0.050591538,0.050591538,0.18232226
0.0019875,0.033125,0.48153411,-0.050395093,0.050395093,0.18249047
0.002025,0.03375,0.48008553,-0.05020058,0.05020058,0.18264646
0.0020625,0.034375,0.47866761,-0.050011867,0.050011867,0.18279417
0.0021,0.035,0.47732199,-0.049828074,0.049828074,0.18295266
0.0021375,0.035625,0.47599102,-0.049646468,0.049646468,0.18310988
0.002175,0.03625,0.47471901,-0.049469931,0.049469931,0.18327224
0.0022125,0.036875,0.47344496,-0.049294375,0.049294375,0.18343133
0.00225,0.0375,0.47222506,-0.049124071,0.049124071,0.18359297
0.0022875,0.038125,0.4710026,-0.04895494,0.04895494,0.18375034
0.002325,0.03875,0.46981339,-0.04878998,0.04878998,0.18390609
0.0023625,0.039375,0.4686735,-0.048631782,0.048631782,0.18405668
0.0024,0.04,0.46755075,-0.048475285,0.048475285,0.18420854
0.0024375,0.040625,0.46647383,-0.048321369,0.048321369,0.18436965
0.002475,0.04125,0.46541984,-0.048170425,0.048170425,0.1845295
0.0025125,0.041875,0.46435417,-0.048019241,0.048019241,0.18468662
0.00255,0.0425,0.46328084,-0.047867918,0.047867918,0.18484222
0.0025875,0.043125,0.46218614,-0.047719378,0.047719378,0.18497947
0.002625,0.04375,0.46106155,-0.047572452,0.047572452,0.18509929
0.0026625,0.044375,0.45995597,-0.047429106,0.047429106,0.18521352
0.0027,0.045,0.4588629,-0.047287964,0.047287964,0.18532487
0.0027375,0.045625,0.45783484,-0.047149512,0.047149512,0.18545263
0.002775,0.04625,0.45684818,-0.047012841,0.047012841,0.18559094
0.0028125,0.046875,0.45589552,-0.046877171,0.046877171,0.18573994
0.00285,0.0475,0.45493566,-0.046742551,0.046742551,0.18588269
0.0028875,0.048125,0.45396352,-0.046609552,0.046609552,0.18601476
0.002925,0.04875,0.45300107,-0.046478284,0.046478284,0.18614464
0.0029625,0.049375,0.45205862,-0.046350186,0.046350186,0.18627074
0.003,0.05,0.45111913,-0.046223798,0.046223798,0.18639188
0.0030375,0.050625,0.45012044,-0.046096799,0.046096799,0.18649163
0.003075,0.05125,0.44909706,-0.045972055,0.045972055,0.18657252
0.0031125,0.051875,0.44805883,-0.045847657,0.045847657,0.18664625
0.00315,0.0525,0.44703628,-0.045726396,0.045726396,0.18671413
0.0031875,0.053125,0.44600571,-0.045605593,0.045605593,0.18677712
0.003225,0.05375,0.44499538,-0.04548701,0.04548701,0.18683984
0.0032625,0.054375,0.4440116,-0.045368232,0.045368232,0.18691486
0.0033,0.055,0.443071,-0.045250157,0.045250157,0.1870056
0.0033375,0.055625,0.44217931,-0.045134215,0.045134215,0.18710867
0.003375,0.05625,0.44132483,-0.045020707,0.045020707,0.18721792
0.0034125,0.056875,0.44049334,-0.044909822,0.044909822,0.18732658
0.00345,0.0575,0.43965505,-0.044799469,0.044799469,0.18743064
0.0034875,0.058125,0.43881105,-0.044689566,0.044689566,0.18753088
0.003525,0.05875,0.43795075,-0.044579966,0.044579966,0.18762337
0.0035625,0.059375,0.43706334,-0.044469448,0.044469448,0.18770853
0.0036,0.06,0.43614479,-0.044358343,0.044358343,0.18778321
0.0036375,0.060625,0.43519553,-0.04424665,0.04424665,0.1878475
0.003675,0.06125,0.43421774,-0.044136119,0.044136119,0.18789482
0.0037125,0.061875,0.43322412,-0.044025249,0.044025249,0.18793695
0.00375,0.0625,0.43223066,-0.043915671,0.043915671,0.18797385
0.0037875,0.063125,0.43124948,-0.043806643,0.043806643,0.18801391
0.003825,0.06375,0.43028059,-0.043698328,0.043698328,0.18805648
0.0038625,0.064375,0.42931978,-0.043589993,0.043589993,0.18810289
0.0039,0.065,0.42838135,-0.043484659,0.043484659,0.18814638
0.00394286,0.065714333,0.42294877,-0.04289036,0.04289036,0.18833431
0.00398571,0.0664285,0.42054111,-0.042614326,0.042614326,0.1884752
0.00402857,0.067142833,0.41931064,-0.042469116,0.042469116,0.18856628
0.00407143,0.067857167,0.41850616,-0.042374323,0.042374323,0.18862553
0.00411429,0.0685715,0.41777706,-0.042292665,0.042292665,0.18866047
0.00415714,0.069285667,0.41700033,-0.042210465,0.042210465,0.18867643
0.0042,0.07,0.41616307,-0.04212365,0.04212365,0.18868567
0.00424286,0.070714333,0.41529346,-0.042032833,0.042032833,0.18869822
0.00428571,0.0714285,0.41442442,-0.041939994,0.041939994,0.18872018
0.00432857,0.072142833,0.41355212,-0.041845861,0.041845861,0.18874659
0.00437143,0.072857167,0.41267117,-0.041750175,0.041750175,0.18877618
0.00441429,0.0735715,0.41180118,-0.041653708,0.041653708,0.18881448
0.00445714,0.074285667,0.41093034,-0.041556941,0.041556941,0.18885393
0.0045,0.075,0.41005482,-0.041459912,0.041459912,0.18889259
0.00454286,0.075714333,0.40918563,-0.041364175,0.041364175,0.18892846
0.00458571,0.0764285,0.40831761,-0.04126834,0.04126834,0.18896549
0.00462857,0.077142833,0.40744559,-0.041172538,0.041172538,0.18900068
0.00467143,0.077857167,0.40658517,-0.041077649,0.041077649,0.18903723
0.00471429,0.0785715,0.40574625,-0.040984434,0.040984434,0.18907624
0.00475714,0.079285667,0.40492109,-0.040893722,0.040893722,0.18911028
0.0048,0.08,0.4040775,-0.040801425,0.040801425,0.18914319
0.00484286,0.080714333,0.4032194,-0.040708374,0.040708374,0.18917295
0.00488571,0.0814285,0.40235634,-0.040615254,0.040615254,0.18920084
0.00492857,0.082142833,0.40148773,-0.040521044,0.040521044,0.18923132
0.00497143,0.082857167,0.40061957,-0.040426396,0.040426396,0.18926422
0.00501429,0.0835715,0.39976045,-0.040332248,0.040332248,0.1892992
0.00505714,0.084285667,0.39890168,-0.04023831,0.04023831,0.18933352
0.0051,0.085,0.39806336,-0.040145829,0.040145829,0.18937086
0.00514286,0.085714333,0.3972413,-0.040054759,0.040054759,0.18940945
0.00518571,0.0864285,0.39641641,-0.039963374,0.039963374,0.18944836
0.00522857,0.087142833,0.39560391,-0.039873772,0.039873772,0.18948491
0.00527143,0.087857167,0.39478108,-0.039783631,0.039783631,0.18951923
0.00531429,0.0885715,0.39393908,-0.03969236,0.03969236,0.18954988
0.00535714,0.089285667,0.39310016,-0.039602537,0.039602537,0.18957523
0.0054,0.09,0.39227007,-0.039513442,0.039513442,0.18960146
0.00544286,0.090714333,0.39145453,-0.039425934,0.039425934,0.18962724
