# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (6.488314e-05 -7.455013e-01 1.673990e-05)) ((0.000000e+00 0.000000e+00 0.000000e+00) (3.585932e-05 4.577573e-03 6.940375e-06))
1.04167e-05   	((5.806274e+01 1.767928e+05 6.007161e+01) (-2.571191e-03 -7.068979e-01 -8.717448e-05)) ((-3.410008e-01 -2.245830e+04 -8.138862e-01) (1.517795e-05 -1.099483e-01 3.115136e-06))
2.08333e-05   	((-2.452147e-01 1.360536e+05 5.980743e+01) (-1.988167e-02 -1.480707e+00 9.894436e-04)) ((-3.374003e+00 -1.733268e+04 -7.539666e-01) (-1.919935e-04 -3.198218e-01 -1.537358e-04))
3.125e-05     	((1.464281e+02 9.390388e+04 3.799684e+02) (-4.451437e-03 -6.984432e+00 3.946116e-02)) ((2.927262e+00 -1.251585e+04 1.388753e+01) (-9.047900e-05 -1.049980e+00 -1.054203e-03))
4.375e-05     	((4.414368e+02 4.519469e+04 3.258193e+02) (-6.411519e-02 -1.501866e+01 3.874470e-02)) ((2.126314e+01 -6.075647e+03 1.560844e+01) (5.518500e-05 -1.397778e+00 -4.102793e-03))
5.625e-05     	((2.296012e+02 1.158049e+04 4.214459e+01) (-5.423829e-02 -1.935836e+01 1.698957e-02)) ((1.073528e+01 -1.653278e+03 6.392476e+00) (-1.642744e-03 -1.226712e+00 -3.220984e-03))
6.875e-05     	((4.388472e+01 -1.541043e+03 -1.494088e+02) (-1.156835e-02 -2.139294e+01 3.449314e-02)) ((1.463955e+00 1.053702e+02 -3.492057e+00) (1.036037e-03 -1.198370e+00 -3.227444e-03))
8.125e-05     	((-6.683565e+01 -2.701424e+03 -1.402253e+02) (-2.744746e-03 -2.247838e+01 6.637600e-02)) ((-3.002493e+00 3.208013e+02 -5.768293e+00) (1.347707e-03 -1.247800e+00 -3.774854e-03))
9.375e-05     	((-7.186749e+01 1.119539e+02 -9.380031e+01) (-1.219992e-02 -2.311881e+01 8.918448e-02)) ((-2.971017e+00 2.043004e+00 -4.543821e+00) (1.033781e-03 -1.320978e+00 -4.371017e-03))
0.000107143   	((-4.104428e+01 2.859697e+03 -4.805113e+01) (-2.499441e-02 -2.354009e+01 9.973422e-02)) ((-1.889175e+00 -3.355668e+02 -2.742111e+00) (7.132129e-04 -1.410387e+00 -5.167869e-03))
0.000120536   	((-1.812601e+01 4.514070e+03 -2.406561e+01) (-2.788912e-02 -2.386114e+01 1.026974e-01)) ((-9.741177e-01 -5.471969e+02 -1.531920e+00) (5.218030e-04 -1.492525e+00 -5.530449e-03))
0.000133929   	((-6.294586e+00 5.193265e+03 -5.755406e+00) (-2.745830e-02 -2.416455e+01 1.081775e-01)) ((-3.761364e-01 -6.401227e+02 -6.759408e-01) (5.501849e-04 -1.558727e+00 -5.572062e-03))
0.000147321   	((-5.548514e-01 5.269979e+03 7.870389e+00) (-2.503430e-02 -2.444463e+01 1.060080e-01)) ((-3.865154e-03 -6.586898e+02 -1.600851e-01) (5.806908e-04 -1.611434e+00 -5.262226e-03))
0.000162768   	((1.674128e+00 5.015549e+03 1.536917e+01) (-1.528161e-02 -2.474862e+01 1.073913e-01)) ((1.656490e-01 -6.340807e+02 9.088419e-02) (1.157540e-03 -1.656861e+00 -4.765143e-03))
0.000178214   	((-1.106670e+00 4.771245e+03 1.753293e+01) (-1.084528e-02 -2.502990e+01 1.012571e-01)) ((1.023150e-01 -6.081706e+02 1.573884e-01) (1.649887e-03 -1.690071e+00 -4.707698e-03))
0.000193661   	((-9.220984e+00 4.601388e+03 1.538348e+01) (-9.898957e-03 -2.527764e+01 9.554014e-02)) ((-2.115464e-01 -5.890704e+02 7.317915e-02) (1.966146e-03 -1.714964e+00 -4.714338e-03))
0.000209107   	((-1.570594e+01 4.509183e+03 7.709062e+00) (-9.706473e-03 -2.548914e+01 9.295362e-02)) ((-4.617773e-01 -5.777621e+02 -1.810967e-01) (2.194571e-03 -1.733918e+00 -4.699411e-03))
0.000224554   	((-1.964496e+01 4.469088e+03 -1.191034e+00) (-9.388767e-03 -2.566445e+01 9.267073e-02)) ((-5.835446e-01 -5.716115e+02 -4.632754e-01) (2.383108e-03 -1.748626e+00 -4.646757e-03))
