time_s,revolutions,thrust,torque,torque_abs,eta0_shaft,eta_p_froude
0,0,-0.7455013,0.004577573,0.004577573,,
1.04167e-05,0.00055555733,176792.09,-22458.41,22458.41,0.18792961,0.13987178
2.08333e-05,0.0011111093,136052.12,-17333,17333,0.18738851,0.15777604
3.125e-05,0.0016666667,93896.896,-12516.9,12516.9,0.17908773,0.18663652
4.375e-05,0.0023333333,45179.671,-6077.0448,6077.0448,0.17748515,0.25713608
5.625e-05,0.003,11561.132,-1654.5047,1654.5047,0.16681831,0.44096145
6.875e-05,0.0036666667,-1562.4359,104.17183,104.17183,,
8.125e-05,0.0043333333,-2723.9024,319.5535,319.5535,,
9.375e-05,0.005,88.83509,0.722026,0.722026,2.9372648,0.97883381
0.000107143,0.0057142933,2836.1569,-336.97719,336.97719,0.20092832,0.67686861
0.000120536,0.0064285867,4490.2089,-548.68942,548.68942,0.19536706,0.5991516
0.000133929,0.00714288,5169.1004,-641.68143,641.68143,0.19231223,0.57499925
0.000147321,0.00785712,5245.5344,-660.30123,660.30123,0.1896527,0.57248233
0.000162768,0.00868096,4990.8004,-635.73756,635.73756,0.18741473,0.5810203
0.000178214,0.0095047467,4746.2151,-609.86067,609.86067,0.1857925,0.58964141
0.000193661,0.010328587,4576.1104,-590.78536,590.78536,0.18491756,0.59590215
0.000209107,0.011152373,4483.6939,-579.49602,579.49602,0.18471276,0.59940054
0.000224554,0.011976213,4443.4235,-573.36013,573.36013,0.18501273,0.60094714
0.00024,0.0128,4431.7276,-569.85204,569.85204,0.18566171,0.60139891
0.000257143,0.013714293,4398.3811,-562.6074,562.6074,0.18663746,0.60269336
0.000274286,0.014628587,4400.0823,-559.69255,559.69255,0.18768202,0.60262709
0.000291429,0.01554288,4411.8485,-558.22289,558.22289,0.18867934,0.60216943
0.000308571,0.01645712,4423.0948,-556.97888,556.97888,0.18958279,0.6017331
0.000325714,0.017371413,4430.1083,-555.41165,555.41165,0.19041921,0.60146154
