# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.19048e-05   	((-2.719875e-01 7.046271e+02 7.778923e-02) (-1.125128e-06 -3.137270e-03 -1.106222e-07)) ((2.830334e-02 -3.368233e+00 2.581579e-02) (5.522976e-08 -3.943585e-04 1.945550e-07))
2.58503e-05   	((8.793543e-02 1.071185e+01 -1.758851e-02) (-3.479469e-07 -3.283979e-03 -7.606990e-08)) ((-2.171109e-03 -4.391470e-01 -5.860981e-04) (3.443204e-08 -3.918309e-04 1.642249e-07))
4.22003e-05   	((-9.970635e-03 2.763424e+00 3.130098e-03) (-3.002755e-07 -3.384698e-03 -1.468283e-08)) ((1.350232e-03 -1.193913e-01 2.258135e-03) (4.185457e-08 -3.948054e-04 1.757523e-07))
6.12753e-05   	((5.808234e-03 1.749838e+00 -4.029414e-03) (-1.736744e-07 -3.489603e-03 -3.515415e-08)) ((3.307233e-04 -8.428846e-02 -4.904632e-04) (4.508409e-08 -4.020524e-04 1.751882e-07))
8.32115e-05   	((5.751356e-03 1.417689e+00 -9.884521e-04) (-1.936897e-08 -3.607133e-03 -5.881992e-08)) ((5.762131e-04 -7.286790e-02 -3.523662e-04) (4.853329e-08 -4.123575e-04 1.758021e-07))
0.000109261   	((2.194192e-03 1.166344e+00 -6.368505e-04) (7.235683e-08 -3.731600e-03 -3.530804e-08)) ((3.696048e-04 -6.113030e-02 7.927660e-05) (5.142110e-08 -4.229364e-04 1.750524e-07))
0.000139318   	((1.379864e-03 9.683844e-01 4.718404e-04) (9.731311e-08 -3.855093e-03 1.975453e-08)) ((4.024100e-04 -5.076324e-02 1.703423e-04) (5.465045e-08 -4.325407e-04 1.723095e-07))
0.000175386   	((8.638573e-04 8.206138e-01 6.350742e-04) (1.088917e-07 -3.983046e-03 7.500705e-08)) ((3.050183e-04 -4.258968e-02 2.002635e-04) (5.729493e-08 -4.419684e-04 1.671992e-07))
0.000215963   	((4.357211e-04 7.217321e-01 6.708489e-04) (1.183876e-07 -4.107882e-03 1.287057e-07)) ((2.492906e-04 -3.711104e-02 2.184678e-04) (5.924223e-08 -4.509022e-04 1.619445e-07))
0.000263302   	((3.790501e-04 6.506497e-01 6.815380e-04) (1.253801e-07 -4.234106e-03 2.020565e-07)) ((2.149886e-04 -3.310887e-02 2.003282e-04) (6.044434e-08 -4.599670e-04 1.555144e-07))
